/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,
Citation:,Thomas, S A; McGwire, Kenneth C; Thomas, J; Kratt, C; Lutz, A; McKay, W A; Trammell, E Jamie (2012): Geospatial analysis of groundwater depth for manual well drilling suitability in the Zinder Region, Niger. PANGAEA, https://doi.org/10.1594/PANGAEA.778418, ,,,,,,,,
,Distance [m] (Distance) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: to major ephemeral stream channels,,,,,,,,,,,,,,,,,
,Distance [m] (Distance) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: to lineaments,,,,,,,,,,,,,,,,,
,Factor (Factor) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: lineament factor,,,,,,,,,,,,,,,,,
,Factor (Factor) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: lineament density,,,,,,,,,,,,,,,,,
,Temperature, air [°C] (TTT) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: night land surface T,,,,,,,,,,,,,,,,
,Description (Description) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: landform,,,,,,,,,,,,,,,,,
,Index (Index) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: of topographic convergence ,TCI= ln(accumulation / tan(slope)) , see Beven and Kirkby (1979, doi:10.1080/02626667909491834),,,,,,,,,,,,,,
,Enhanced vegetation index (EVI) * PI: McGwire, Kenneth C (kenm@dri.edu) * COMMENT: average; around Julian day 65,,,,,,,,,,,,,,,,,
License:,Creative Commons Attribution 3.0 Unported (CC-BY-3.0),,,,,,,,,,,,,,,,,,
Size:,58896 data points,,,,,,,,,,,,,,,,,,
*/,,,,,,,,,,,,,,,,,,,
Sample ID (well),Longitude,Latitude,x,y,Elevation [m a.s.l.],Depth GW [m],Depth GW e [m],Rock,Soil comp,Distance [m] (to persistent surface water /...),Distance [m] (to major ephemeral stream cha...),Distance [m] (to lineaments),Factor (lineament factor),Factor (lineament density),TTT [°C] (night land surface T),Description (landform),Index (of topographic convergence ,T...),EVI (average; around Julian day 65)
1,8.95417,13.75,426804.9941,529001.1374,448,14.32,0.03,Igneous,Sesquioxides,868,18842,2698,22,0.1864,16.9,Canyons,4.8,0.1325,
5,8.59,13.75417,387493.6648,528730.2096,475,33,0,Sandstone,Sesquioxides,2037,26023,1318,24,0.1898,16.14,High ridges,3.05,0.1247,
7,9.35,13.76389,469491.0513,531417.0432,420,38,0,Igneous,Sesquioxides,6859,21609,2135,20.2,0.1134,18.83,U-shaped valleys,4.29,0.1151,
10,8.96944,13.90556,428115.4981,546274.2243,468,18,0,Sandstone,Sesquioxides,8467,16802,152,25.1,0.1836,15.2,High ridges,3.73,0.1374,
12,9.01667,13.90556,433207.964,546374.7298,447,68,0,Igneous,Sesquioxides,7263,12528,979,25,0.1884,14.89,High ridges,5.24,0.1402,
13,8.64172,13.83667,392911.2006,537973.7416,476,22,0,Sandstone,Sesquioxides,2893,36573,195,23.6,0.2035,16.16,U-shaped valleys,6.1,0.1336,
15,9.05139,13.80972,437165.0203,535827.5812,438,22.67,1.15,Igneous,Sesquioxides,218,6497,199,23.3,0.1845,16.64,High ridges,4.2,0.133,
18,9.01806,13.85556,433467.8123,540835.8005,463,48,0,Metamorphic,Sesquioxides,4883,9882,117,24.2,0.1955,17.66,Canyons,7.82,0.1096,
19,8.93333,13.82778,424388.9143,537577.4414,466,32,0,Igneous,Sesquioxides,310,18749,1148,23.8,0.1895,16.12,High ridges,4.43,0.1299,
20,8.93056,13.83333,424077.3652,538187.3028,464,34.5,0.71,Igneous,Sesquioxides,463,19043,1083,23.8,0.189,16.2,High ridges,4.25,0.1317,
23,8.51333,13.78611,379157.8251,532125.3887,475,45,0,Sandstone,Sesquioxides,6809,23990,1221,21.7,0.1769,15.66,Plains,8.73,0.1384,
31,8.9625,13.86667,427451.0843,541949.1194,466,39.67,2.52,Sandstone,Sesquioxides,4501,15999,822,24.4,0.1898,16.12,High ridges,3.49,0.1389,
35,8.62514,13.87917,391037.8234,542652.312,505,45,0,Sandstone,Sesquioxides,5041,39267,2058,22.5,0.1888,16.38,Mesas,3.08,0.1396,
47,8.58833,13.78194,387259.1535,531805.5816,477,8,0,Sandstone,Sesquioxides,1411,28230,2360,23.5,0.1992,17.78,Shallow valleys,5.71,0.1343,
53,8.9875,13.75972,430381.1935,530149.1917,452,31,0,Igneous,Sesquioxides,4054,15192,3665,22.2,0.1861,17.53,Plains,3.87,0.1416,
67,8.97778,13.82222,429195.8221,537055.3947,450,35,0,Igneous,Sesquioxides,440,13990,1519,23.5,0.1956,19.21,Canyons,9.82,0.0983,
73,8.51525,13.82778,379284.4496,536747.1844,450,19,0,Sandstone,Sesquioxides,3269,28200,5369,21.1,0.1673,14.28,Canyons,5.58,0.1344,
74,9.01889,13.79667,433687.3125,534310.7562,450,16,0,Igneous,Sesquioxides,3026,10291,1058,23,0.1869,16.3,Canyons,7.88,0.1153,
76,9.01667,13.80556,433428.0045,535291.1656,451,18,0,Igneous,Sesquioxides,2992,10186,2037,23.2,0.1899,17.66,Mesas,6.29,0.1274,
78,8.65844,13.80833,394771.9527,534865.8553,482,17,0,Sandstone,Sesquioxides,2344,35481,3817,24.3,0.2042,16.13,Plains,5.36,0.1374,
79,8.655,13.8125,394392.0179,535320.9887,477,32,0,Sandstone,Sesquioxides,2339,35546,3230,24.2,0.2056,15.79,U-shaped valleys,5.43,0.1382,
80,8.65167,13.80583,394045.7469,534575.5593,478,30.5,0.71,Sandstone,Sesquioxides,2172,34768,3678,24.2,0.2032,15.86,Plains,3.79,0.1445,
87,9.49167,14.47028,483040.0548,610057.142,491,66.61,0,Sandstone,Evolved little,28823,26131,9285,10.3,0.0248,15.98,Plains,4.83,0.121,
88,9.49008,14.46444,482884.0942,609406.4637,497,77,0,Sandstone,Evolved little,28348,26113,9724,10.5,0.0291,15.74,High ridges,4.43,0.1197,
90,9.30514,14.4275,463084.6051,604877.6812,496,77,0,Sandstone,Steppe-like,20751,11722,4780,11,0.0393,15.97,High ridges,5.12,0.1243,
91,9.43847,14.41917,477444.6461,604263.5719,505,46,0,Sandstone,Evolved little,27813,22796,7670,11.5,0.0498,15.24,Shallow valleys,6.22,0.1174,
94,9.40186,14.35583,473659.8278,597155.1477,499,80,0,Sandstone,Evolved little,21184,17818,6370,12.9,0.066,17.76,U-shaped valleys,4.78,0.1181,
95,9.40839,14.35278,474369.5393,596831.7137,498,80,0,Sandstone,Evolved little,21550,17286,5610,13,0.0676,17.76,Canyons,8.28,0.1169,
98,9.36842,14.40056,469954.5954,602035.9743,489,61.74,0,Sandstone,Evolved little,22184,18138,10367,11.7,0.0486,16.46,U-shaped valleys,9.67,0.1255,
100,9.40842,14.405,474246.3834,602622.0501,503,71.15,0,Sandstone,Evolved little,25349,20979,8805,11.7,0.0533,16.52,Plains,4.65,0.1195,
101,9.30192,14.64222,462231.7876,628681.1471,484,63.23,0,Sandstone,Steppe-like,29081,14382,2021,7.8,0.0456,14.34,Canyons,7.81,0.1202,
102,9.30339,14.64333,462387.3063,628807.7196,488,60.89,0,Sandstone,Steppe-like,29177,14554,1996,7.8,0.0457,14.34,High ridges,3.95,0.1202,
103,9.21506,14.50778,453210.7373,613575.491,471,69.21,0,Sandstone,Steppe-like,24705,1171,2392,10.4,0.0538,14.43,High ridges,4.89,0.1279,
105,9.35192,14.5075,467924.7189,613856.1748,479,68.34,0,Sandstone,Steppe-like,30792,10595,12478,8.8,0.0352,15.6,Small hills in plains,4.89,0.1214,
106,9.42517,14.57306,475640.4216,621296.5245,491,61.48,0,Sandstone,Steppe-like,41403,19247,12817,8,0.0385,15.28,High ridges,4.7,0.122,
107,9.50353,14.50583,484227.632,614028.0282,492,66.14,0,Sandstone,Steppe-like,31775,26844,7164,9.8,0.0224,14.17,Plains,4.2,0.1209,
110,9.30514,14.4925,462931.2346,612085.2511,481,80,0,Sandstone,Steppe-like,26557,6310,7181,9.4,0.0361,14.75,High ridges,6.28,0.1229,
120,10.22778,13.47778,565028.5958,501958.9974,360,26,0,Igneous,Evolved little,7268,7358,5826,9.7,0.0419,16.71,Canyons,7.66,0.1408,
123,9.86667,13.625,525614.4304,517296.8129,381,6,0,Sand plains,Evolved little,14070,2062,8294,10.6,0.06,14.8,High ridges,5.47,0.1385,
127,9.54167,13.65833,490436.6594,520174.3468,421,7,0,Sand dunes,Evolved little,4351,16869,4756,13.6,0.0857,16.52,Canyons,11.03,0.1368,
128,9.825,13.29028,521999.516,480107.0499,363,6,0,Sand plains,Evolved little,13378,696,11357,4.2,0.0148,14.55,Plains,6.55,0.1449,
130,9.775,13.30556,516551.2618,481671.0346,366,5,0,Sand plains,Evolved little,10545,6320,7915,4.5,0.0157,14.82,Canyons,5.47,0.1425,
131,9.95278,13.17556,536131.7041,467734.7419,358,26,0,Sand plains,Sesquioxides,25396,3108,11125,3.2,0.0154,14.84,Canyons,6.43,0.1643,
135,9.79028,13.59444,517445.9109,513714.2948,385,11,0,Sand dunes,Evolved little,11653,10108,7802,9.9,0.0463,15.5,Shallow valleys,9.95,0.1428,
139,10.21667,13.55556,563605.7703,510544.6963,361,13,0,Igneous,Evolved little,6865,15305,6865,11.8,0.0504,18.24,Canyons,8.08,0.1575,
144,9.68056,13.61111,505553.1524,515283.6652,395,10,0,Sand dunes,Evolved little,8376,6865,2760,10.5,0.045,14.74,Canyons,5.24,0.1655,
145,10.02222,13.33333,543213.5747,485395.2319,369,25,0,Sand plains,Evolved little,22065,14902,4666,5.4,0.0333,14.81,High ridges,4.03,0.1453,
147,10.14639,13.51944,556116.3989,506349.4565,380,8,2.45,Igneous,Evolved little,13712,12248,2429,10.6,0.0556,17,Mesas,3.86,0.1358,
154,9.68889,13.44444,506881.0204,496838.8045,379,10,0,Sand dunes,Evolved little,3052,9752,4759,7.5,0.0319,15.55,Plains,3.55,0.1435,
155,9.69583,13.44583,507627.9783,497010.0923,381,12,0,Sand dunes,Evolved little,3670,9723,5484,7.4,0.0315,16.72,Canyons,9.52,0.1393,
158,9.91806,13.12083,532521.1636,461582.6175,359,28,0,Sand plains,Sesquioxides,22883,6870,17698,2.9,0.0055,15.22,Plains,6.98,0.1623,
159,9.93056,13.17639,533724.4306,467768.2512,359,21,0,Sand plains,Sesquioxides,22989,3576,13242,3.2,0.0139,14.77,Canyons,9.82,0.1553,
166,10.06806,13.36667,548077.5404,489211.2204,365,26,0,Sand plains,Evolved little,18075,12685,2876,6.4,0.0398,15.11,Plains,9.74,0.1477,
167,9.515,13.16667,488773.0285,465641.5745,374,32,0,Sand plains,Evolved little,6112,7700,7576,4.7,0.0222,14.42,High ridges,4.83,0.1455,
168,9.76111,13.62778,514208.9535,517333.4089,388,5,0,Alluvium,Hydromorphic,12042,11803,3463,10.3,0.0386,14.51,High ridges,4.67,0.1436,
169,10.04167,13.52778,544779.5446,506987.8902,372,16,0,Sand plains,Evolved little,7725,19346,3894,10,0.0596,15.62,Canyons,4.85,0.1496,
170,9.97778,13.16667,538861.5992,466816.6936,358,20,0,Sand plains,Sesquioxides,23166,1820,9488,3.2,0.0164,14.76,Small hills in plains,4.05,0.1673,
171,9.64,13.16667,502302.6108,465947.6913,368,31,0,Sand plains,Evolved little,1138,15382,20985,3.3,0.0071,14.1,Plains,4.51,0.1498,
173,10.08889,13.38333,550283.5826,491113.8878,362,25,0,Sand plains,Evolved little,16120,9934,3108,6.8,0.0457,15.46,U-shaped valleys,8.93,0.1412,
175,9.7875,13.62083,517076.695,516631.1276,381,5,0,Alluvium,Hydromorphic,13287,9173,5078,10.3,0.0471,14.72,Small hills in plains,5.47,0.1518,
177,9.53833,13.15,491339.9369,463852.147,372,32,0,Sand plains,Evolved little,3245,7584,9911,4,0.0192,14.04,Small hills in plains,5.18,0.1573,
178,10.02222,13.27778,543366.335,479241.6914,361,8,0,Sand plains,Evolved little,20794,9387,6050,4.4,0.0296,15.49,Mesas,0,0.1488,
181,9.81389,13.575,520047.1537,511620.4556,385,7,0,Sand dunes,Evolved little,12972,9656,10896,9.6,0.0455,14.28,Canyons,9.07,0.147,
186,9.99028,13.36389,539675.6609,488694.4435,364,6.25,0.96,Sand plains,Evolved little,24031,15760,2674,5.9,0.0364,14.4,Plains,7.65,0.1563,
190,9.65681,13.33889,503682.5348,485065.3923,377,9,0,Sand plains,Evolved little,3832,18412,3949,5.5,0.0295,14.2,Canyons,6.6,0.1443,
191,9.69444,13.56944,507160.0717,510701.6852,385,6,0,Metamorphic,Evolved little,3562,3669,3615,9.8,0.0428,14.88,U-shaped valleys,4.67,0.1598,
196,9.89722,13.31944,529733.2395,483525.3695,363,5,0,Sand dunes,Evolved little,21771,5114,4570,4.6,0.0285,15.46,High ridges,4.33,0.1488,
197,10.09306,13.41389,550648.8701,494510.0482,363,13,0,Sand plains,Evolved little,16747,9031,5225,7.5,0.0527,16.04,Plains,9.83,0.1442,
202,10.03056,13.4125,543896.7485,494187.1417,363,9,0,Sand plains,Evolved little,19134,15783,1979,7.1,0.0461,14.83,U-shaped valleys,9.36,0.1499,
203,10.09167,13.59722,549987.5412,514817.0394,365,6,1.41,Igneous,Evolved little,9720,15703,257,11.6,0.0701,20.11,Canyons,9.51,0.1421,
205,9.75417,13.63472,513441.0456,518085.1999,388,8,0,Sand dunes,Evolved little,12309,12462,2808,10.4,0.0372,15.37,Canyons,6.64,0.1401,
207,9.95139,13.61389,534792.9769,516287.6968,375,23,0,Sand plains,Evolved little,5419,5785,2178,10.9,0.07,14.84,Canyons,10.2,0.1457,
208,10.00833,13.52361,541189.7915,506436.782,378,15,0,Sand plains,Evolved little,6609,17490,1498,9.7,0.0577,15.78,Small hills in plains,4.99,0.1477,
209,10.11944,13.40556,553524.6288,493658.9529,361,21.5,0.71,Sand plains,Evolved little,13769,6192,4194,7.4,0.0528,15.82,Canyons,4.82,0.1508,
211,10.02778,13.31111,543875.5719,482948.6984,362,15,0,Sand plains,Evolved little,20770,12885,4748,5,0.0333,14.98,Canyons,7.88,0.1558,
214,9.83333,13.66667,521904.6457,521827.4205,383,5.4,2.07,Sand plains,Evolved little,19283,4651,4777,10.9,0.0556,15.88,Plains,8.35,0.151,
217,9.5,13.66667,485917.4091,520997.3165,453,6,0,Sand dunes,Evolved little,4208,20922,1465,14.8,0.0879,16.89,U-shaped valleys,3.99,0.1308,
226,9.83056,13.59167,521803.2647,513510.0374,383,8,0,Sand dunes,Evolved little,15329,7096,10551,9.9,0.0465,14.47,Canyons,10.01,0.1447,
230,10.09722,13.25278,551548.8287,476675.6136,360,42,1.41,Sand plains,Evolved little,12701,13636,303,4.2,0.0247,15.92,High ridges,4.78,0.1471,
236,9.95833,13.2,536666.5544,470456.6888,357,23,0,Sand plains,Sesquioxides,25652,489,9514,3.4,0.018,15.04,Canyons,4.67,0.1608,
238,9.9,13.11111,530592.5416,460458.5323,359,25,0,Sand plains,Sesquioxides,21459,5624,19891,3,0.0035,15.49,Shallow valleys,6.25,0.1627,
262,9.65,13.51111,502508.0013,504127.7654,385,10.5,2.12,Sand dunes,Evolved little,5794,3088,233,9.4,0.05,15.28,High ridges,5.2,0.1481,
265,9.85556,13.12778,525736.5869,462188.3098,360,15,0,Sand plains,Sesquioxides,16312,1268,22902,3.1,0.0012,14.76,Plains,6.27,0.1564,
275,9.5,13.27778,486875.7302,477912.263,379,6,0,Sand dunes,Evolved little,13068,13193,7780,7.6,0.0631,13.73,Plains,5.53,0.1401,
276,9.85833,13.92778,523908.7499,550828.3109,403,7,0,Sand dunes,Evolved little,22335,17154,173,11.3,0.0659,15.7,Mesas,5.07,0.1411,
278,9.475,13.59444,483395.3239,512934.5917,578,5,0,Metamorphic,Raw minerals,4742,16158,1143,14.9,0.1064,20.48,High ridges,2.49,0.1115,
283,9.70417,13.58472,508170.9375,512418.8685,389,3,0,Sand dunes,Evolved little,5262,5468,4105,9.9,0.0416,15.04,Canyons,7.76,0.1378,
288,9.95278,13.15556,536185.9301,465519.7545,359,22,0,Sand plains,Sesquioxides,25246,4781,12353,3.1,0.0111,14.53,Small hills in plains,5.24,0.1597,
289,10.16389,13.48472,558105.2186,502550.9609,363,14,0,Sand plains,Evolved little,12667,7962,4040,9.7,0.0546,16.21,U-shaped valleys,5.47,0.1481,
296,10.17222,13.50694,558942.6996,505035.807,364,12,0,Sand plains,Evolved little,11108,10007,4418,10.4,0.0545,16.64,Canyons,7.05,0.1439,
297,10.08611,13.44722,549805.318,498183.728,363,6,0,Sand plains,Evolved little,17831,10594,1685,8.3,0.0619,16.2,U-shaped valleys,5.98,0.1543,
301,10.00833,13.23889,541970.5905,474897.1183,360,23.67,1.53,Sand plains,Evolved little,21445,5101,4052,3.8,0.0209,15.25,Plains,7.44,0.1512,
304,9.56847,13.12361,494668.3609,461002.9684,368,26,0,Sand plains,Evolved little,330,7440,13527,3.2,0.0067,14.43,Plains,5.47,0.155,
307,9.60681,13.23056,498548.692,472941.7893,369,20,0,Sand plains,Evolved little,2753,19101,16892,4.3,0.0287,14.24,Plains,16.03,0.1486,
308,9.5,13.61111,486054.3355,514841.2581,422,6,0,Sand dunes,Evolved little,5278,16838,1929,14.3,0.0976,17.03,Canyons,5.02,0.13,
328,9.91111,13.225,531489.2609,473100.9306,360,11,0,Sand plains,Sesquioxides,20739,190,14237,3.6,0.0161,15.07,High ridges,6.28,0.1521,
329,9.91667,13.22778,532082.9453,473423.2154,359,12,0,Sand plains,Sesquioxides,21339,457,13641,3.6,0.0164,15.07,Plains,8.38,0.1536,
330,9.90139,13.22917,530426.153,473536.9459,359,9,0,Sand plains,Sesquioxides,19686,767,14549,3.6,0.0164,14.89,Plains,15.81,0.1543,
331,9.57347,14.26667,492346.3276,587678.8143,491,23,0,Igneous,Evolved little,5936,14710,2457,16.5,0.1247,16.86,Upslope drainages,5.84,0.1178,
332,9.54181,14.25,488979.4556,585754.2227,475,22.23,0,Igneous,Evolved little,8294,10832,1859,16.4,0.1344,17.49,Small hills in plains,3.97,0.1266,
335,9.61842,14.3425,496992.0113,596196.2623,496,34.99,0,Sandstone,Evolved little,10937,23533,5081,15,0.0826,16.22,High ridges,4.59,0.1225,
336,9.62503,14.26722,497894.0992,587866.4959,459,14.78,0,Igneous,Hydromorphic,2579,19786,676,16.7,0.1213,16.63,U-shaped valleys,0,0.1114,
342,9.97083,14.21944,535243.6568,583452.5316,408,11.27,0,Igneous,Steppe-like,1750,23040,4803,14.4,0.07,15.22,Canyons,6.81,0.135,
345,9.63514,14.21667,499110.788,582286.6821,450,32,0,Igneous,Steppe-like,2318,19598,1732,16.5,0.1384,16.91,U-shaped valleys,4.47,0.1221,
347,9.97222,14.21778,535397.729,583271.5177,408,15,0,Igneous,Steppe-like,1634,22814,4566,14.3,0.0698,15.22,Plains,7.16,0.1366,
349,9.65347,14.31806,500825.9856,593572.5573,479,3.25,0,Sandstone,Evolved little,8795,25014,749,15.6,0.0969,17.26,High ridges,4.84,0.1118,
350,10.00306,14.28333,538537.4675,590620.7653,421,19.81,0,Sandstone,Steppe-like,6992,28963,6004,15.4,0.0855,20.14,High ridges,4.99,0.1157,
351,9.875,14.30139,524707.7673,592286.0915,433,37,0,Sandstone,Steppe-like,8300,35771,3189,15.2,0.0816,20.65,Canyons,7.77,0.1172,
352,9.9125,14.26667,528836.6631,588534.2936,424,22,0,Sandstone,Evolved little,4758,30463,1833,14.9,0.0801,17.92,High ridges,5.47,0.1275,
353,10.01028,14.33806,539164.4473,596706.8498,437,35,0,Sandstone,Steppe-like,5734,34857,3654,16.1,0.1016,20.36,Canyons,9.41,0.1147,
355,9.57517,14.33361,492360.9241,595104.9856,497,71.08,0,Sandstone,Evolved little,11213,19512,3275,15,0.086,17.43,High ridges,4.78,0.1161,
357,9.50347,14.38472,484520.5384,600598.8461,491,59.27,0,Sandstone,Evolved little,20254,20838,2049,12.9,0.0673,17.08,Hills in valleys,4.31,0.1204,
358,9.50192,14.38444,484353.9523,600564.2994,486,58,0,Sandstone,Evolved little,20338,20765,1913,12.9,0.0674,17.08,Canyons,5.29,0.1204,
359,9.57333,14.23333,492414.9056,583982.8931,479,33,0,Igneous,Hydromorphic,4478,13328,1617,16.7,0.1397,17.9,Plains,6.24,0.1015,
363,9.80472,14.44639,516763.2064,608181.6978,476,56.3,0,Sandstone,Steppe-like,2223,46435,1673,14.2,0.0586,17.58,Canyons,6.02,0.1198,
364,9.84944,14.45417,521551.6114,609158.8521,491,70.07,0,Sandstone,Steppe-like,2382,50897,980,14.8,0.0628,18.71,Canyons,6.3,0.1125,
367,9.98083,14.27194,536176.9158,589299.1403,412,16,0,Igneous,Steppe-like,5573,28243,8420,15.2,0.0834,18.71,U-shaped valleys,9.18,0.1102,
368,9.92833,14.25194,530580.5301,586943.5259,418,22.78,0,Sandstone,Evolved little,4438,28219,3893,14.8,0.0756,17.84,Canyons,7.07,0.1226,
382,10.24444,13.75,566047.6024,532166.6167,395,32,0,Igneous,Evolved little,8527,25340,1393,12.8,0.0927,19.95,Canyons,7.15,0.1349,
386,10.1,13.66944,550685.7278,522841.8892,416,17,0,Igneous,Evolved little,13942,10995,2595,12.5,0.0883,20.55,Plains,3.68,0.1329,
389,9.55667,13.96111,491300.4199,553766.0606,442,12,0,Igneous,Evolved little,4745,28240,5883,15.7,0.1026,15.06,Upslope drainages,5.04,0.1341,
390,9.82778,13.96111,520526.2517,554443.895,414,12,0,Sand dunes,Evolved little,17469,21548,1870,11.7,0.0747,15.55,High ridges,2.59,0.1402,
392,10.14444,13.68056,555452.3448,524194.6179,415,4,0,Igneous,Evolved little,17321,14970,1055,13.1,0.091,20.68,Canyons,4.3,0.1269,
396,10.22778,13.66667,564487.8076,522886.2929,389,7.1,0.14,Igneous,Evolved little,8401,24064,5894,14.4,0.0822,18.01,U-shaped valleys,7.01,0.1355,
399,10.025,13.78889,542260.3283,535875.0623,377,32.5,0.71,Igneous,Steppe-like,12141,1719,4710,11.5,0.1184,18.46,Canyons,12.51,0.1364,
402,9.50333,13.66944,486270.403,521313.0458,444,17,0,Sand dunes,Evolved little,3739,20821,1259,14.7,0.0864,15.64,U-shaped valleys,4.76,0.1312,
403,9.775,13.66944,515599.7457,521985.5867,395,9,0,Sand dunes,Evolved little,16766,10573,1740,10.8,0.0443,15.98,Canyons,6.97,0.1384,
404,9.73611,13.70833,511300.4394,526196.2036,398,7,0,Sand dunes,Evolved little,18974,16071,931,11.2,0.0449,16.52,Canyons,4.98,0.146,
405,9.46833,13.70833,482396.5377,525538.6984,456,6,0,Sand dunes,Evolved little,6356,26472,1835,16.2,0.0871,13.72,High ridges,4.2,0.1348,
410,9.54167,13.82222,490028.9517,538336.2082,428,11,0,Metamorphic,Evolved little,4996,32154,3110,15.5,0.0869,15.27,Canyons,7.4,0.1474,
416,9.85278,13.86667,523472.2906,544041.0253,394,11.1,1.27,Sand dunes,Evolved little,24395,17014,661,11.4,0.0714,16.68,Canyons,0,0.1476,
432,10.27222,13.77639,568968.8761,535168.7121,418,3,0,Igneous,Evolved little,7997,27549,1861,12.3,0.0884,19.62,U-shaped valleys,3.98,0.1374,
437,10.14167,13.68333,555144.7526,524494.7005,404,4,0,Igneous,Evolved little,17573,14598,1158,13.1,0.0911,20.59,Canyons,6.24,0.1357,
439,9.95,13.74444,534289.0252,530750.3788,375,42,0,Sand plains,Evolved little,18253,2761,5296,11.6,0.1053,17.14,Small hills in plains,4.48,0.1415,
442,9.85833,13.825,524182.2887,539437.676,391,8.4,0.95,Sand dunes,Evolved little,25107,15782,2161,11.4,0.0733,14.94,Small hills in plains,4.43,0.1415,
444,10.08611,13.63611,549279.197,519110.7787,365,11,0,Igneous,Evolved little,10551,12111,1743,12.1,0.082,21.91,Canyons,9.02,0.152,
445,10.25833,13.69167,567714.3508,525741.8391,393,26,0,Igneous,Evolved little,6915,26837,4147,13.7,0.0827,15.95,Canyons,10.11,0.1399,
447,9.85,13.69444,523630.2216,524948.3985,386,4,0,Sand plains,Evolved little,19545,5872,1366,11.3,0.0662,15.58,High ridges,4.32,0.1475,
484,10.04444,13.99167,543797.7847,558400.4195,394,3,0,Sand plains,Steppe-like,9683,656,5418,10.8,0.0837,19.4,U-shaped valleys,3.23,0.146,
