FID,the_geom,bh_id,completion,type,country,lat,long,location,elevation,aquifer,depth_m,yield_m3_h,strike_m,tds_mg_l,samdate_td,so4_mg_l,samdate_so,NO3_mg_l,samdate_NO,f_mg_l,samdate_f,t_m2_d,ec_ms_m,samdate_ec,wl_mbgl,samdate_wl,delta_D,samdate_de,delta_O,samdate__1,tritium_T,plus_minus,samdate_T,_14C,plus_min_1,samdate_14,MRT_years
stasboreholes.28,POINT (20.74167 -25.825),A857,-9999.99,BOREHOLE,SOUTH AFRICA,-25.825,20.74167,-9999.99,940,KALAHARI,86,-9999.99,-9999.99,16522,-9999.99,3089.2,-9999.99,11.03,-9999.99,0.05,-9999.99,-9999.99,-9999.99,-9999.99,75.15,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.29,POINT (20.45833 -25.15833),A1185,-9999.99,BOREHOLE,SOUTH AFRICA,-25.15833,20.45833,-9999.99,990,KALAHARI,-9999.99,-9999.99,-9999.99,15643,-9999.99,4180.2,-9999.99,8.02,-9999.99,4.85,-9999.99,-9999.99,-9999.99,-9999.99,73.27,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.30,POINT (20.35417 -25.48167),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-25.48167,20.35417,-9999.99,-9999.99,KALAHARI,119,-9999.99,-9999.99,15491,-9999.99,3242.7,-9999.99,20.39,-9999.99,2.84,-9999.99,-9999.99,-9999.99,-9999.99,92.35,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.31,POINT (20.12694 -26.09222),A692,-9999.99,BOREHOLE,SOUTH AFRICA,-26.09222,20.12694,-9999.99,950,KALAHARI,122,-9999.99,-9999.99,15058,-9999.99,1730.4,-9999.99,53.51,-9999.99,16.81,-9999.99,-9999.99,-9999.99,-9999.99,79.3,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.32,POINT (19.33483 -24.80009),J6K/39849,-9999.99,MONITORING,NAMIBIA,-24.80009,19.33483,-9999.99,1102,KALAHARI,168,3,-9999.99,15015,-9999.99,1850,-9999.99,60,-9999.99,19,-9999.99,6.23,2310,-9999.99,101.9,-9999.99,-42,8/27/2000,-5.03,8/27/2000,0,0.2,36765,6.19,0.22,8/27/2000,22130
stasboreholes.33,POINT (20.28944 -25.19111),A1180,-9999.99,BOREHOLE,SOUTH AFRICA,-25.19111,20.28944,-9999.99,1010,KALAHARI,-9999.99,-9999.99,-9999.99,14888,-9999.99,5545.7,-9999.99,5.39,-9999.99,0.85,-9999.99,-9999.99,-9999.99,-9999.99,81.17,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.34,POINT (20.37167 -26.15472),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-26.15472,20.37167,-9999.99,-9999.99,KALAHARI,-9999.99,-9999.99,-9999.99,14382,-9999.99,2729.7,-9999.99,115.38,-9999.99,9.16,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.35,POINT (20.25306 -26.15889),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-26.15889,20.25306,-9999.99,-9999.99,KALAHARI,110,-9999.99,-9999.99,14166,-9999.99,1738.6,-9999.99,110.85,-9999.99,25.48,-9999.99,-9999.99,-9999.99,-9999.99,68,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.36,POINT (20.45 -26.18333),A650,-9999.99,BOREHOLE,SOUTH AFRICA,-26.18333,20.45,-9999.99,940,KALAHARI,56,0.78,-9999.99,13471,-9999.99,3022.2,-9999.99,110.54,-9999.99,7.85,-9999.99,-9999.99,-9999.99,-9999.99,30.48,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.37,POINT (20.21167 -26.15361),A524,-9999.99,BOREHOLE,SOUTH AFRICA,-26.15361,20.21167,-9999.99,940,KALAHARI,-9999.99,-9999.99,-9999.99,13263,-9999.99,1529,-9999.99,49.15,-9999.99,15.74,-9999.99,-9999.99,-9999.99,-9999.99,68,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.38,POINT (20.31528 -26.25833),A201,1982,BOREHOLE,SOUTH AFRICA,-26.25833,20.31528,-9999.99,910,KALAHARI,100,-9999.99,-9999.99,13058,-9999.99,1083.5,-9999.99,62.45,-9999.99,28.76,-9999.99,-9999.99,-9999.99,-9999.99,61.8,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.39,POINT (20.68472 -25.5875),A986,-9999.99,BOREHOLE,SOUTH AFRICA,-25.5875,20.68472,-9999.99,940,KALAHARI,68,-9999.99,-9999.99,12964,-9999.99,3179.7,-9999.99,1.81,-9999.99,1.57,-9999.99,-9999.99,-9999.99,-9999.99,54.06,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.40,POINT (20.63609 -25.53092),KGNP13,-9999.99,-9999.99,SOUTH AFRICA,-25.53092,20.63609,EILEEN,-9999.99,NOSSOB,68,-9999.99,-9999.99,12964,12/13/1982,3179.7,12/13/1982,1.81,12/13/1982,1.57,12/13/1982,-9999.99,5440,-9999.99,53.5,12/13/1982,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.41,POINT (20.63609 -25.53092),KGNP13,-9999.99,-9999.99,SOUTH AFRICA,-25.53092,20.63609,EILEEN,-9999.99,NOSSOB,0,-9999.99,-9999.99,12964,-9999.99,3179.7,-9999.99,1.81,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.42,POINT (20.35333 -26.32917),A84,-9999.99,BOREHOLE,SOUTH AFRICA,-26.32917,20.35333,-9999.99,920,KALAHARI,-9999.99,-9999.99,-9999.99,12933,-9999.99,1574.5,-9999.99,36.52,-9999.99,24.19,-9999.99,-9999.99,-9999.99,-9999.99,76.2,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.43,POINT (20.67 -25.45),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-25.45,20.67,-9999.99,-9999.99,KALAHARI,72,0.3,56,12502,2/10/1998,2911.6,2/10/1998,37.74,2/10/1998,4.53,2/10/1998,-9999.99,-9999.99,-9999.99,53,2/10/1998,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.44,POINT (20.283333 -23.166667),NO ID,-9999.99,-9999.99,BOTSWANA,-23.166667,20.283333,NORTHERN OF GEMSBOK,-9999.99,KALAHARI,-9999.99,-9999.99,130,12348,-9999.99,2152,-9999.99,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,81.45,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.45,POINT (20.16111 -25.28611),A1160,-9999.99,BOREHOLE,SOUTH AFRICA,-25.28611,20.16111,-9999.99,1010,KALAHARI,-9999.99,-9999.99,-9999.99,12322,-9999.99,5161.8,-9999.99,0.46,-9999.99,2.85,-9999.99,-9999.99,-9999.99,-9999.99,65.42,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.46,POINT (20.41667 -26.3),A58,-9999.99,BOREHOLE,SOUTH AFRICA,-26.3,20.41667,-9999.99,920,KALAHARI,122,-9999.99,-9999.99,12140,-9999.99,1157.8,-9999.99,53.47,-9999.99,16.83,-9999.99,-9999.99,-9999.99,-9999.99,73,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.47,POINT (20.28333 -26.25),A242,-9999.99,BOREHOLE,SOUTH AFRICA,-26.25,20.28333,-9999.99,930,KALAHARI,-9999.99,-9999.99,-9999.99,12116,-9999.99,609.9,-9999.99,102.43,-9999.99,17.81,-9999.99,-9999.99,-9999.99,-9999.99,74.9,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.48,POINT (20.15833 -25.28889),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-25.28889,20.15833,-9999.99,-9999.99,KALAHARI,-9999.99,-9999.99,-9999.99,11998,-9999.99,4887,-9999.99,0.39,-9999.99,3.06,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.49,POINT (17.72135 -23.86021),NO ID,-9999.99,-9999.99,NAMIBIA,-23.86021,17.72135,M056,-9999.99,KALAHARI,-9999.99,-9999.99,-9999.99,11760,-9999.99,3697,-9999.99,60,-9999.99,3.5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.50,POINT (20.03333 -26.01667),A724,-9999.99,BOREHOLE,SOUTH AFRICA,-26.01667,20.03333,-9999.99,950,KALAHARI,113,-9999.99,-9999.99,11646,-9999.99,1239.2,-9999.99,102.53,-9999.99,12.93,-9999.99,-9999.99,-9999.99,-9999.99,80.7,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.51,POINT (20.26528 -26.23194),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-26.23194,20.26528,-9999.99,-9999.99,KALAHARI,103,0.56,83,11492,10/14/1975,917.8,10/14/1975,97.33,10/14/1975,31.25,10/14/1975,-9999.99,-9999.99,-9999.99,50,10/14/1975,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.52,POINT (20.00417 -25.99167),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-25.99167,20.00417,-9999.99,-9999.99,KALAHARI,-9999.99,-9999.99,-9999.99,11468.56,-9999.99,1786.9,-9999.99,122.54,-9999.99,13.39,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.53,POINT (20.09861 -25.06944),A1211,-9999.99,BOREHOLE,SOUTH AFRICA,-25.06944,20.09861,-9999.99,1040,KALAHARI,67,1,-9999.99,11430,-9999.99,3961.6,-9999.99,37.43,-9999.99,3.42,-9999.99,-9999.99,-9999.99,-9999.99,59.25,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.54,POINT (20.32778 -26.31389),A151,1979,BOREHOLE,SOUTH AFRICA,-26.31389,20.32778,-9999.99,910,KALAHARI,111,-9999.99,-9999.99,11421,-9999.99,830.5,-9999.99,46.86,-9999.99,40.06,-9999.99,-9999.99,-9999.99,-9999.99,67.2,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.55,POINT (20.00361 -25.98472),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-25.98472,20.00361,-9999.99,-9999.99,KALAHARI,-9999.99,-9999.99,-9999.99,11216,-9999.99,1808.4,-9999.99,105.95,-9999.99,11.93,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.56,POINT (20.11861 -26.08972),A627,-9999.99,BOREHOLE,SOUTH AFRICA,-26.08972,20.11861,-9999.99,950,KALAHARI,100,-9999.99,-9999.99,10840,-9999.99,959.9,-9999.99,53.37,-9999.99,11.28,-9999.99,-9999.99,-9999.99,-9999.99,80.4,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.57,POINT (20.18278 -26.08167),A849,-9999.99,BOREHOLE,SOUTH AFRICA,-26.08167,20.18278,-9999.99,940,KALAHARI,-9999.99,-9999.99,-9999.99,10675,-9999.99,1873.3,-9999.99,82.06,-9999.99,25.36,-9999.99,-9999.99,-9999.99,-9999.99,65.08,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.58,POINT (20.46111 -25.74167),A919,-9999.99,BOREHOLE,SOUTH AFRICA,-25.74167,20.46111,-9999.99,940,KALAHARI,-9999.99,-9999.99,-9999.99,10440,-9999.99,2533.2,-9999.99,4.51,-9999.99,4.86,-9999.99,-9999.99,-9999.99,-9999.99,79.45,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
stasboreholes.59,POINT (20.16944 -26.12917),NO ID,-9999.99,BOREHOLE,SOUTH AFRICA,-26.12917,20.16944,-9999.99,-9999.99,KALAHARI,-9999.99,-9999.99,-9999.99,10097,-9999.99,835.8,-9999.99,74.11,-9999.99,22.17,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99
